model,year,n,p_mean,p_std,logloss,brier
model_1_logistic,2023,112,0.7521158464454102,0.171271959370675,0.4637582456418007,0.14500048549334527
model_1_logistic,2024,111,0.6986606543178181,0.2126132299957128,0.4996038049909936,0.16356234555990004
model_1_logistic,2025,84,0.692351583644137,0.23350431013055345,0.7320726426540637,0.24798687663138966
model_2_rf,2023,112,0.7686755041472597,0.07403599818251698,0.408686462762426,0.11988102602118364
model_2_rf,2024,111,0.7609789365590669,0.0802904092289816,0.3787246702226648,0.1075867106856901
model_2_rf,2025,84,0.7632975630718118,0.07195035840952653,0.42645295400835276,0.1293317411783343
model_3_gbdt,2023,112,0.7652036558363208,0.08824951492362187,0.42351807178987994,0.1258359072447341
model_3_gbdt,2024,111,0.7699295633179697,0.09053653468665916,0.38641332247241705,0.1106559806282774
model_3_gbdt,2025,84,0.7714320874356259,0.0870758319827718,0.44211922528377184,0.1362138571353524
